,,Do not make changes to the yellow columns. Changes should only be made in the final four columns shaded blue >>>>>>,,,,,,,,,,,,,,,Use these four columns to propose amendments,,,
Postgraduate,ITEC897,Industry Based Internship 1,16,Science,Postgraduate,ITEC812(D) and permission by special approval,,"ITEC898, ITEC903","FY1 Day
FY2 Day
S1 External
S2 External
S3 External","

Compulsory
Compulsory
Compulsory",Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC898,Industry Based Internship 2,8,Science,Postgraduate,ITEC812(D) and permission by special approval,,ITEC897,"S1 External
S2 External
S3 External","Compulsory
Compulsory
Compulsory",Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC903,Industry Based Internship A,16,Science,Postgraduate,Admission to MInfoTech and (16cp in ITEC units at 800 level including ITEC812) and GPA of 3.5 (out of 4.0) and permission by special approval,,,"S1 External
S2 External","Voluntary
Voluntary",Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC904,Industry Based Internship B,16,Science,Postgraduate,ITEC903,,,"S1 External
S2 External","Voluntary
Voluntary",Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,MATH800,Mathematics Research Project,8,Science,Postgraduate,12cp in MATH units at 300 level,,,"S1 Day
S2 Day","
",Department of Mathematics,No,none,none,no quota,No,,,,
Postgraduate,MATH801,Mathematics Research Skills,4,Science,Postgraduate,12cp in MATH units at 300 level,,MATH843,"S1 Day
S2 Day","
",Department of Mathematics,No,none,none,no quota,No,,,,
Postgraduate,PHYS800,Physics Research Project,8,Science,Postgraduate,Permission by special approval,,,2018,,Department of Physics and Astronomy,No,none,none,no quota,No,"When Offered

",TBD,,M. Hitchens
Postgraduate,PHYS802,Physics Research Skills,4,Science,Postgraduate,Permission by special approval,,PHYS801,S1 Day,,Department of Physics and Astronomy,No,none,none,no quota,No,"When Offered

",TBD,,M. Hitchens
Postgraduate,STAT806,Statistical Inference,4,"Commerce, Science",Postgraduate,,(Admission to MAppStat or GradDipAppStat and (MATH604 and STAT670 and STAT680 and STAT683)) or (admission to Msc or MActPrac),"STAT710, STAT810","S1 Day
S1 External","None
",Department of Statistics,No,"STAT306, ",none,no quota,No,,,Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made.,
Postgraduate,STAT810,Statistical Theory,4,"Commerce, Science",Postgraduate,,(Admission to MAppStat or GradDipAppStat and (MATH604 and STAT670 and STAT680 and STAT683)) or (admission to MSc or MActPrac),STAT806,"S1 Evening
S1 External","
None",Department of Statistics,No,STAT710,none,no quota,No,"Corequisite
Co-taught units",(Admission to MAppStat or GradCertAppStat or GradDipAppStat or MDataSc and (MATH604 and STAT670 and STAT680 and STAT683)) or (admission to MSc or MActPrac),Adding Graduate Certificate of Applied Stats and Master of Data Science,"Petra Graham, Georgy Sofronov"
Postgraduate,STAT811,Generalized Linear Models,4,"Commerce, Science",Postgraduate,(Admission to MAppStat or MSc or GradDipAppStat or MActPrac and (STAT806 or STAT810)) or (admission to MMarScMgt or MConsBiol or GradDipConsBiol and STAT830(Cr)),,,"S2 Evening
S2 External","
None",Department of Statistics,No,"STAT411, STAT711, ",none,no quota,No,"Prerequisite
When Offered",(Admission to MAppStat or MSc or GradCertAppStat or GradDipAppStat or MActPrac or MDataSc and (STAT806 or STAT810)) or (admission to MMarScMgt or MConsBiol or GradDipConsBiol and STAT830(Cr)),Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made. Adding Graduate Certificate of Applied Stats and Master of Data Science,"Petra Graham, Georgy Sofronov"
Postgraduate,STAT814,Statistical Design,4,"Commerce, Science",Postgraduate,,((Admission to MAppStat or GradDipAppStat) and STAT680) or ((admisson to MBiotech or GradDipBiotech or MBioBus or MMarScMgt or MConsBiol or GradDipConsBiol or MLabQAMgt or PGCertLabQAMgt or GradDipLabQAMgt or GradCertLabQAMg) and STAT830) or (admission to MSc or MActPrac),,"S1 Day
S1 External","
None",Department of Statistics,No,"STAT373, STAT714, ",none,no quota,No,Co-taught units; Corequisite,((Admission to MAppStat or GradCertAppStat or GradDipAppStat) and STAT680) or ((admisson to MBiotech or GradDipBiotech or MBioBus or MMarScMgt or MConsBiol or GradDipConsBiol or MLabQAMgt or PGCertLabQAMgt or GradDipLabQAMgt or GradCertLabQAMg) and STAT830) or (admission to MSc or MActPrac),Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made. Adding Graduate Certificate of Applied Stats ,Petra Graham
Postgraduate,STAT818,Epidemiological Methods,4,"Commerce, Science",Postgraduate,,(Admission to MAppStat or GradDipAppStat and STAT680) or (admission to MSc or MActPrac or MDevStudGlobalHlth or MDevStud),,"S2 Day
S2 External","
None",Department of Statistics,No,"STAT395, STAT718, ",none,no quota,No,Co-taught units; corequisite,(Admission to MAppStat or GradCertAppStat or GradDipAppStat and STAT680) or (admission to MSc or MActPrac or MDevStudGlobalHlth or MDevStud),Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made. Adding Graduate Certificate of Applied Stats ,Petra Graham
Postgraduate,STAT821,Multivariate Analysis,4,"Commerce, Science",Postgraduate,"((Admission to MAppStat or MSc or GradDipAppStat or MActPrac) and (STAT806 or STAT810)) or ((admission to MLabQAMgt or PGCertLabQAMgt or GradDipLabQAMgt or GradCertLabQAMgt or MMarScMgt or MConsBiol or GradDipConsBiol) and STAT830)
",,,"S2 Evening
S2 External","
None",Department of Statistics,No,STAT721,none,no quota,No,Co-taught units; prerequisite,((Admission to MAppStat or MSc or GradCertAppStat or GradDipAppStat or MActPrac or MDataSc) and (STAT806 or STAT810)) or ((admission to MLabQAMgt or PGCertLabQAMgt or GradDipLabQAMgt or GradCertLabQAMgt or MMarScMgt or MConsBiol or GradDipConsBiol) and STAT830),Adding Graduate Certificate of Applied Stats and Master of Data Science,"Petra Graham, Georgy Sofronov"
Postgraduate,STAT822,Time Series,4,"Commerce, Science",Postgraduate,"Admission to MAppStat or MSc or GradDipAppStat or MActPrac
",STAT806 or STAT810,,,,Department of Statistics,No,STAT722,none,no quota,No,"Prerequisite
When Offered","Admission to MAppStat or MSc or GradCertAppStat or GradDipAppStat or MActPrac or MDataSc,  S2 Day, S2 External",Adding Graduate Certificate of Applied Stats and Master of Data Science. TBD replaced,"Petra Graham, Georgy Sofronov"
Postgraduate,STAT823,Statistical Graphics,4,"Commerce, Science",Postgraduate,Admission to MAppStat or MSc or GradDipAppStat or MLabQAMgt or PGCertLabQAMgt or GradDipLabQAMgt or GradCertLabQAMgt or MBiotech or GradDipBiotech or MBioBus or MActPrac,,,"S1 Day
S1 External","
None",Department of Statistics,No,STAT723,none,no quota,No,Prerequisite,Admission to MAppStat or MSc or GradCertAppStat or GradDipAppStat or MLabQAMgt or PGCertLabQAMgt or GradDipLabQAMgt or GradCertLabQAMgt or MBiotech or GradDipBiotech or MBioBus or MActPrac or MDataSc,Adding Graduate Certificate of Applied Stats and Master of Data Science,"Petra Graham, Georgy Sofronov"
Postgraduate,STAT825,Statistics Project,4,"Commerce, Science",Postgraduate,Admission to MAppStat and (32cp in BCA or STAT units at 800 level or above),(STAT806 or STAT810) and STAT811 and STAT821 and STAT878,STAT835,"S1 Day
S1 External
S2 Day
S2 External","
None

None",Department of Statistics,No,none,none,no quota,No,,,,
Postgraduate,STAT826,Market Research and Forecasting,4,"Commerce, Science",Postgraduate,,((Admission to MAppStat or GradDipAppStat) and STAT680) or (admission to MSc or MActPrac),,"S2 Day
S2 External","
None",Department of Statistics,No,"STAT328, STAT726, ",none,no quota,No,Corequisite,((Admission to MAppStat or GradCertAppStat or GradDipAppStat) and STAT680) or (admission to MSc or MActPrac or MDataSc),Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made. Adding Graduate Certificate of Applied Stats and Master of Data Science,"Petra Graham, Georgy Sofronov"
Postgraduate,STAT827,Survival Analysis,4,Science,Postgraduate,BCA808 or (admission to MAppStat or MSc or GradDipAppStat or MActPrac),STAT806 or STAT810 or BCA817,,S1 External,None,Department of Statistics,No,STAT727,none,no quota,No,"Prerequisite
When Offered",BCA808 or (admission to MAppStat or MSc or GradCertAppStat or GradDipAppStat or MActPrac),Adding Graduate Certificate of Applied Stats,Petra Graham
Postgraduate,STAT828,Data Mining,4,"Commerce, Science",Postgraduate,,"((Admission to MAppStat or GradDipAppStat) and (STAT683 or STAT680)) or (admission to MSc or MActPrac or MInfoTech)
",,"S1 Evening
S1 External","
None",Department of Statistics,No,STAT728,none,no quota,No,Prerequisite,((Admission to MAppStat or GradCertAppStat or GradDipAppStat) and (STAT683 or STAT680)) or (admission to MSc or MActPrac or MInfoTech or MDataSc),Adding Graduate Certificate of Applied Stats and Master of Data Science,"Petra Graham, Georgy Sofronov"
Postgraduate,STAT830,Statistical Methods in Bioinformatics,4,Science,Postgraduate,Admission to MBiotech or MSc or GradDipBioTech or MBiotechMCom or MBioBus or MLabQAMgt or PGCertLabQAMgt or GradDipLabQAMgt or GradCertLabQAMgt or MConsBiol or GradDipConsBiol or MMarScMgt,,,S1 Day,,Department of Statistics,No,"STAT730, ",none,no quota,No,Corequisite,Admission to MBiotech or MSc or MDataSc or GradDipBioTech or MBiotechMCom or MBioBus or MLabQAMgt or PGCertLabQAMgt or GradDipLabQAMgt or GradCertLabQAMgt or MConsBiol or GradDipConsBiol or MMarScMgt ,Adding Master of Data Science,Georgy Sofronov
Postgraduate,STAT878,Modern Computational Statistical Methods,4,"Commerce, Science",Postgraduate,,((Admission to MAppStat or GradDipAppStat or MActPrac) and (STAT806 or STAT810)) or (admission to MSc or MInfoTech),,"S1 Evening
S1 External","
None",Department of Statistics,No,STAT778,none,no quota,No,Corequisite,((Admission to MAppStat or GradCertAppStat or GradDipAppStat or MActPrac or MDataSc) and (STAT806 or STAT810)) or (admission to MSc or MInfoTech),Adding Graduate Certificate of Applied Stats and Master of Data Science,"Petra Graham, Georgy Sofronov"
Postgraduate,STAT888,Applied Business Techniques,4,"Commerce, Science",Postgraduate,Admission to MCom,,,TBD,,Department of Statistics,No,none,none,no quota,No,,,,
Postgraduate,STAT890,Stochastic Finance,4,Science,Postgraduate,,((Admission to MAppStat or GradDipAppStat) and STAT683) or (admission to MSc or MActPrac),,"S2 Evening
S2 External","
None",Department of Statistics,No,"STAT402, STAT790, ",none,no quota,No,"Corequisite; When Offered

",((Admission to MAppStat or GradCertAppStat or GradDipAppStat) and STAT683) or (admission to MSc or MActPrac); TBD,Note from C&P: The co-taught on this unit was approved for 2017 only as an exception to the shared teaching principles. If the Faculty wishes to retain the co-taught in 2018 a request for a continued exception must be made. Adding Graduate Certificate of Applied Stats. Running of unit depends on numbers (has been small in past) and availablility of staff - usual staff member is on OSP in S2.,Petra Graham
OUA,BIOX122,Biological Basis of Behaviour,1,,oua-Planet,,,"SCI140, BIOL122, BBE100",S1 OUA,,Department of Biological Sciences,No,none,none,no quota,No,,,,
OUA,BIOX260,Science of Sex,1,,oua-Planet,,,"BIOL260
",TBD,,Department of Biological Sciences,No,none,none,no quota,No,,,,
